Nom méthode;Famille méthode de contrôle biologique;Sous-famille méthode de contrôle biologique;Type de traitement;Partie traitée;Mode d'action;Groupe ciblé;Cible principale;"Autres caractéristiques (précision; nom commercial; caractéristiques d'emploi…)";Stade d'application;RDD ou OAD;Nombre d'application;Dose application;Niveau de satisfaction de l'utilisation de la méthode;Filière;Cultures;Pleine terre ou abri;Période expérimentation;Nom du projet;Site expérimental;Code postal site;Nom du système;Lien fiche SYSTEME
Bacillus subtilis;Micro-organismes;Préparation bactérienne;Fongicides;Aérienne;Antagonisme et stimulateur de défense des plantes;Ascomycètes;Botrytis cinerea;En cas de pression modérée;Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivAB;4SYSLEG;;;;
Bacillus subtilis;Micro-organismes;Préparation bactérienne;Fongicides;Aérienne;Antagonisme et stimulateur de défense des plantes;Ascomycètes;Sclérotinia;En cas de pression modérée;Mitigé;Légumes;Laitue;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivAB;4SYSLEG;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Mineuses;Aucun avis émis;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivAB;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf;Non spécifié;;;;
Lecanicillium muscarium;Micro-organismes;Préparation fongique;Insecticides;Aérienne;Parasitisme;Hémiptères;Aleurodes;Aplication répétées;Bon;Légumes;Tomate;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivAB;4SYSLEG;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Noctuelles;Aucun avis émis;Légumes;Toutes cultures leg;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivAB;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf;Non spécifié;;;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Ingestion;Mollusques;Limaces;Bon;Légumes;Toutes cultures leg;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivAB;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T22DivAB.pdf;Non spécifié;;;;
Savon;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Hémiptères;Pucerons;Savon potassique;Bon;Légumes;Toutes cultures leg;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivAB;4SYSLEG;;;;
Encarsia formosa;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Hémiptères;Aleurodes;Bon;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Eretmocerus erimicus;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Hémiptères;Aleurodes;Bon;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
Trichogrammes;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasites des oeufs de pyrale;Lépidoptères;Chenilles;Bon;Légumes;Cultures d'été;Sous abris;2013-2018;4SYSLEG;Domaine Expérimental Alénya-Roussillon;66200;DivRed;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_4SYSLEG_Alenya_T25DivRed.pdf;Non spécifié;;;;
